[681.28, 432.079]
[662.782, 329.607]
[513.062, 348.69]
[580.825, 447.005]
[546.657, 241.481]
[604.801, 285.518]
[622.684, 387.289]
[634.304, 183.111]
[529.235, 454.338]
[563.819, 342.416]
[301.639, 374.848]
[653.375, 279.836]
[504.836, 297.436]
[314.569, 483.01]
[476.554, 461.536]
[468.73, 408.042]
[624.977, 136.486]
[643.762, 230.831]
[361.844, 421.92]
[254.374, 434.35]
[266.415, 544.689]
[521.158, 401.067]
[679.937, 177.874]
[485.175, 515.099]
[595.735, 236.098]
[308.067, 428.563]
[577.781, 140.796]
[348.614, 315.944]
[408.604, 361.851]
[445.921, 252.562]
[401.177, 309.508]
[719.54, 373.265]
[586.682, 187.759]
[538.076, 192.905]
[660.324, 86.7346]
[376.509, 530.266]
[631.661, 439.575]
[496.7, 246.976]
[572.348, 394.241]
[488.725, 197.704]
[615.64, 91.1161]
[699.79, 273.719]
[415.76, 414.882]
[480.846, 149.898]
[355.198, 368.426]
[289.605, 270.179]
[423.058, 468.962]
[461.161, 355.281]
[387.279, 208.45]
[613.843, 335.996]
[607.58, 47.7085]
[738.846, 476.24]
[473.148, 103.397]
[514.369, 54.7829]
[342.122, 264.509]
[589.921, 499.738]
[529.803, 145.293]
[639.758, 492.076]
[243.096, 327.321]
[521.541, 98.9283]
[536.797, 507.474]
[429.788, 522.945]
[248.752, 381.717]
[284.118, 219.617]
[453.519, 303.337]
[555.278, 291.463]
[219.654, 82.1691]
[672.122, 380.455]
[691.199, 483.841]
[278.56, 170.718]
[380.645, 159.983]
[295.367, 321.878]
[709.884, 323.933]
[369.183, 476.046]
[330.032, 165.401]
[320.281, 537.641]
[237.915, 276.936]
[260.33, 490.626]
[232.719, 224.621]
[569.025, 94.8441]
[417.774, 63.253]
[690.139, 226.442]
[335.692, 214.051]
[273.457, 122.747]
[438.528, 202.983]
[394.371, 258.584]
[729.286, 425.563]
[227.999, 176.892]
[374.165, 112.602]
[431.11, 154.734]
[319.236, 72.3481]
[423.804, 107.951]
[670.341, 132.837]
[651.016, 44.3945]
[267.802, 77.5546]
[223.492, 127.047]
[464.771, 58.9328]
[559.553, 51.0899]
[323.944, 117.781]
[367.157, 67.8317]
